Hugo_Symbol	Entrez_Gene_Id
ARHGAP35	2909
CDC73	79577
RNF43	54894
EGFR	1956
MSH3	4437
ARID1A	8289
KRAS	3845
CDK8	1024
PIK3CA	5290
PIK3CA	5290
PIK3CG	5294
KMT2C	58508
PREX2	80243
EPHA5	2044
APC	324
TP53	7157
APC	324
FBXW7	55294
APC	324
MTOR	2475
PDGFRB	5159
KRAS	3845
CSF3R	1441
PIK3CG	5294
MDM4	4194
RPTOR	57521
EPHA7	2045
FGF3	2248
AGO2	27161
ERF	2077
NADK	65220
APC	324
SMAD3	4088
ARID1B	57492
SMAD2	4087
KRAS	3845
ALOX12B	242
ELF3	1999
TRAF2	7186
KRAS	3845
SMAD3	4088
SMARCA4	6597
PIK3CA	5290
APC	324
PIK3CD	5293
SMAD3	4088
SOX9	6662
SMAD2	4087
APC	324
SPEN	23013
ARID1A	8289
PIK3R3	8503
TCF7L2	6934
CTR9	9646
KMT2A	4297
MEN1	4221
RECQL	5965
KRAS	3845
KDM5A	5927
KDM5A	5927
KMT2D	8085
ERBB3	2065
IRS2	8660
LATS2	26524
FLT1	2321
FLT1	2321
MGA	23269
SLX4	84464
CYLD	1540
PLCG2	5336
ANKRD11	29123
NCOR1	9611
RNF43	54894
SOX9	6662
TP53	7157
YES1	7525
JAK3	3718
MEF2B	100271849
DOT1L	84444
KMT2B	9757
KMT2B	9757
POLD1	5424
PTPRS	5802
INSR	3643
CTLA4	1493
ASXL1	171023
DNMT3B	1789
ERG	2078
WWTR1	25937
TP63	8626
TGFBR2	7048
CTNNB1	1499
MST1R	4486
BAP1	8314
TET2	54790
FBXW7	55294
FAT1	2195
IL7R	3575
MAP3K1	4214
MAP3K1	4214
PIK3R1	5295
MSH3	4437
LATS1	9113
LATS1	9113
ARID1B	57492
MDC1	9656
NOTCH4	4855
NOTCH4	4855
DAXX	1616
MET	4233
SMO	6608
PREX2	80243
MAPKAP1	79109
ABL1	25
TSC1	7248
NOTCH1	4851
TRAF2	7186
SYK	6850
PTCH1	5727
PTCH1	5727
EIF1AX	1964
MTOR	2475
MAD2L2	10459
NOTCH2	4853
SETDB1	9869
CDC73	79577
FGFR2	2263
ATM	472
KMT2A	4297
SESN3	143686
SETD8	0
POLE	5426
PIK3C2G	5288
MAX	4149
NTRK3	4916
TSC2	7249
MAPK3	5595
SLX4	84464
PLCG2	5336
GRIN2A	2903
PIK3R2	5296
DOT1L	84444
KMT2B	9757
AXL	558
ERCC2	2068
ERCC2	2068
PTPRS	5802
PPP2R1A	5518
PDCD1	5133
MSH6	2956
ERG	2078
PPARG	5468
EPHB1	2047
MITF	4286
TERT	7015
TERT	7015
RAD50	10111
FLT4	2324
PIK3R1	5295
HLA-C	3107
NOTCH4	4855
RECQL4	9401
PREX2	80243
KDM6A	7403
ARAF	369
MED12	9968
ATRX	546
MYOD1	4654
KRAS	3845
KDM5A	5927
ERBB3	2065
NTRK3	4916
APC	324
APC	324
FLCN	201163
PTPRT	11122
TP53	7157
PTPRT	11122
APC	324
APC	324
KRAS	3845
GAB2	9846
BCOR	54880
SETDB1	9869
CDC73	79577
CSF3R	1441
TCF7L2	6934
SH2B3	10019
HNF1A	6927
POLE	5426
PIK3C2G	5288
KRAS	3845
FLT1	2321
BRCA2	675
BRCA2	675
MGA	23269
ERCC4	2072
TRAF7	84231
CTCF	10664
CDH1	999
SOX9	6662
TP53	7157
YES1	7525
CEBPA	1050
ERF	2077
DNMT3A	1788
TMEM127	55654
ASXL1	171023
TOP1	7150
EP300	2033
ATR	545
ATR	545
PIK3CA	5290
TET2	54790
FAT1	2195
PHOX2B	8929
APC	324
FGFR4	2264
FLT4	2324
HLA-C	3107
HLA-B	3106
TAP2	6891
DAXX	1616
KMT2C	58508
KMT2C	58508
KMT2C	58508
CARD11	84433
NOTCH1	4851
AMER1	139285
ATRX	546
ATRX	546
MAD2L2	10459
NTRK1	4914
SPEN	23013
NADK	65220
SPRTN	83932
ARID1A	8289
RAD54L	8438
NEGR1	257194
PIK3CD	5293
SHOC2	8036
CTR9	9646
POLE	5426
PIK3C2G	5288
FLT1	2321
DIS3	22894
ERCC4	2072
TSC2	7249
CDH1	999
ZFHX3	463
ZFHX3	463
ANKRD11	29123
ANKRD11	29123
ANKRD11	29123
ANKRD11	29123
FLCN	201163
SMARCE1	6605
STAT3	6774
CD79B	974
SOX9	6662
TP53	7157
DOT1L	84444
CD79A	973
ARHGAP35	2909
BBC3	27113
BARD1	580
MSH6	2956
PTPRT	11122
PTPRT	11122
PAK7	0
EP300	2033
TGFBR2	7048
SETD2	29072
PPP4R2	151987
FAT1	2195
WHSC1	0
APC	324
DROSHA	29102
PIK3R1	5295
HIST1H3G	8355
MDC1	9656
HLA-B	3106
TAP2	6891
DAXX	1616
KMT2C	58508
CDK6	1021
WHSC1L1	0
KLF4	9314
NOTCH1	4851
CDKN2B	1030
PTPRD	5789
KDM6A	7403
GATA1	2623
ATRX	546
TP53	7157
APC	324
KRAS	3845
MGA	23269
PTCH1	5727
PIK3CA	5290
KRAS	3845
SMAD4	4089
CIC	23152
TP53	7157
KRAS	3845
SMAD4	4089
TP53	7157
EPHA3	2042
SETD2	29072
ESR1	2099
CSDE1	7812
SPEN	23013
SDHB	6390
CDC73	79577
IL10	3586
PARP1	142
FH	2271
MPL	4352
BCL10	8915
PIK3CD	5293
PIK3CD	5293
PIK3CD	5293
TCF7L2	6934
FGFR2	2263
RET	5979
ARID5B	84159
TET1	80312
PTEN	5728
PTEN	5728
PTEN	5728
PGR	5241
PGR	5241
PGR	5241
CTR9	9646
CTR9	9646
ATM	472
ATM	472
ATM	472
ATM	472
ATM	472
KMT2A	4297
MYOD1	4654
CCND1	595
INPPL1	3636
SESN3	143686
RAD52	5893
TBX3	6926
SETD8	0
SETD8	0
POLE	5426
PIK3C2G	5288
PIK3C2G	5288
PIK3C2G	5288
KRAS	3845
CCND2	894
KDM5A	5927
KMT2D	8085
IRS2	8660
IRS2	8660
LATS2	26524
LATS2	26524
FLT1	2321
BRCA2	675
BRCA2	675
RB1	5925
RB1	5925
RB1	5925
RB1	5925
CYSLTR2	57105
DIS3	22894
DIS3	22894
DIS3	22894
PRKD1	5587
NKX2-1	7080
GREM1	26585
SPRED1	161742
MGA	23269
MGA	23269
MGA	23269
TP53BP1	7158
B2M	567
USP8	9101
USP8	9101
MAP2K1	5604
NTRK3	4916
NTRK3	4916
BLM	641
BLM	641
IGF1R	3480
GRIN2A	2903
CREBBP	1387
ZFHX3	463
ZFHX3	463
ZFHX3	463
PLCG2	5336
PLCG2	5336
PLCG2	5336
ANKRD11	29123
GRIN2A	2903
GRIN2A	2903
NF1	4763
NF1	4763
ERBB2	2064
TP53	7157
RPTOR	57521
PIK3C3	5289
SMAD2	4087
SMAD2	4087
MALT1	10892
SMARCA4	6597
SMARCA4	6597
NOTCH3	4854
NOTCH3	4854
NOTCH3	4854
UPF1	5976
DOT1L	84444
CD79A	973
ERF	2077
POLD1	5424
POLD1	5424
PPP2R1A	5518
PPP2R1A	5518
ERCC3	2071
PMS1	5378
PMS1	5378
CASP8	841
CTLA4	1493
IDH1	3417
ERBB4	2066
ERBB4	2066
CUL3	8452
CUL3	8452
IRS1	3667
IRS1	3667
ASXL2	55252
ASXL2	55252
ALK	238
ALK	238
EPAS1	2034
MSH6	2956
XPO1	7514
XPO1	7514
ETAA1	54465
INPP4A	3631
PTPRT	11122
PTPRT	11122
PTPRT	11122
PAK7	0
PAK7	0
RUNX1	861
U2AF1	7307
GSK3B	2932
RAF1	5894
RAF1	5894
GATA2	2624
EPHB1	2047
ATR	545
ATR	545
ATR	545
ATR	545
PIK3CA	5290
PIK3CA	5290
SOX2	6657
EIF4A2	1974
MLH1	4292
SETD2	29072
SETD2	29072
SETD2	29072
PBRM1	55193
FOXP1	27086
FOXP1	27086
EPHA3	2042
TET2	54790
TET2	54790
INPP4B	8821
FAT1	2195
FAT1	2195
FAT1	2195
FAT1	2195
PDGFRA	5156
PDGFRA	5156
PDGFRA	5156
KIT	3815
KIT	3815
KDR	3791
REST	5978
EPHA5	2044
ALB	213
APC	324
APC	324
APC	324
APC	324
RAD50	10111
NSD1	64324
NSD1	64324
NSD1	64324
FLT4	2324
DROSHA	29102
DROSHA	29102
RICTOR	253260
MAP3K1	4214
MAP3K1	4214
PIK3R1	5295
MSH3	4437
RASA1	5921
RASA1	5921
RASA1	5921
RASA1	5921
ROS1	6098
ROS1	6098
LATS1	9113
LATS1	9113
LATS1	9113
DAXX	1616
EPHA7	2045
EPHA7	2045
EPHA7	2045
PIK3CG	5294
PIK3CG	5294
PIK3CG	5294
MET	4233
MET	4233
MET	4233
MET	4233
ETV1	2115
EZH2	2146
EZH2	2146
KMT2C	58508
XRCC2	7516
INHBA	3624
EGFR	1956
AGO2	27161
SOX17	64321
PREX2	80243
MAPKAP1	79109
TSC1	7248
NOTCH1	4851
NOTCH1	4851
TEK	7010
PAX5	5079
JAK2	3717
CD274	29126
PDCD1LG2	80380
PTPRD	5789
PTPRD	5789
NTRK2	4915
NTRK2	4915
SYK	6850
BTK	695
BCOR	54880
ARAF	369
AMER1	139285
MED12	9968
ATRX	546
ATRX	546
ATRX	546
ATRX	546
ATRX	546
ATRX	546
ATRX	546
NRAS	4893
CSDE1	7812
CSDE1	7812
NOTCH2	4853
NOTCH2	4853
NOTCH2	4853
SPEN	23013
DDR2	4921
NUF2	83540
RFWD2	0
IKBKE	9641
IL10	3586
SPRTN	83932
MYCL	4610
PIK3R3	8503
RAD54L	8438
JAK1	3716
JAK1	3716
JAK1	3716
TCF7L2	6934
TCF7L2	6934
FGFR2	2263
ARID5B	84159
ARID5B	84159
TET1	80312
TET1	80312
TET1	80312
TET1	80312
PGR	5241
PGR	5241
BIRC3	330
BIRC3	330
CTR9	9646
ATM	472
ATM	472
ATM	472
ATM	472
ATM	472
KMT2A	4297
KMT2A	4297
KMT2A	4297
MYOD1	4654
MYOD1	4654
WT1	7490
RPS6KA4	8986
CCND1	595
GAB2	9846
GAB2	9846
MRE11A	0
MRE11A	0
MRE11A	0
SESN3	143686
SETD8	0
POLE	5426
PIK3C2G	5288
RECQL	5965
RECQL	5965
KDM5A	5927
KDM5A	5927
ARID2	196528
KMT2D	8085
KMT2D	8085
IRS2	8660
FLT3	2322
BRCA2	675
BRCA2	675
BRCA2	675
DICER1	23405
DICER1	23405
DICER1	23405
B2M	567
USP8	9101
NTRK3	4916
ERCC4	2072
PALB2	79728
PALB2	79728
SLX4	84464
CREBBP	1387
CYLD	1540
CYLD	1540
CDH1	999
PLCG2	5336
FOXF1	2294
FOXF1	2294
NCOR1	9611
NCOR1	9611
FLCN	201163
NF1	4763
NF1	4763
NF1	4763
SUZ12	23512
BRCA1	672
BRCA1	672
MSI2	124540
ALOX12B	242
SMAD4	4089
SMARCA4	6597
SMARCA4	6597
TCF3	6929
PTPRS	5802
INSR	3643
BCL2L11	10018
NFE2L2	4780
IDH1	3417
ERBB4	2066
ERBB4	2066
CUL3	8452
CUL3	8452
IRS1	3667
DNMT3A	1788
ASXL2	55252
ALK	238
ALK	238
EPAS1	2034
MSH6	2956
XPO1	7514
XPO1	7514
ETAA1	54465
ETAA1	54465
INPP4A	3631
DNMT3B	1789
DNMT3B	1789
DNMT3B	1789
TOP1	7150
TOP1	7150
PTPRT	11122
PTPRT	11122
NCOA3	8202
RTEL1-TNFRSF6B	100533107
RTEL1-TNFRSF6B	100533107
PAK7	0
ERG	2078
CRKL	1399
EP300	2033
EPHB1	2047
PIK3CB	5291
PIK3CB	5291
ATR	545
WWTR1	25937
PIK3CA	5290
SOX2	6657
TGFBR2	7048
TGFBR2	7048
MYD88	4615
CTNNB1	1499
SETD2	29072
BAP1	8314
PBRM1	55193
MITF	4286
MITF	4286
MITF	4286
PPP4R2	151987
TET2	54790
TET2	54790
TET2	54790
INPP4B	8821
INPP4B	8821
FAT1	2195
FAT1	2195
FAT1	2195
FAT1	2195
FAT1	2195
WHSC1	0
WHSC1	0
PDGFRA	5156
PDGFRA	5156
KIT	3815
KDR	3791
KDR	3791
REST	5978
ALB	213
FAM175A	0
EIF4E	1977
APC	324
APC	324
APC	324
APC	324
RAD50	10111
RAD50	10111
NPM1	4869
RICTOR	253260
MSH3	4437
MSH3	4437
MSH3	4437
MSH3	4437
MSH3	4437
RASA1	5921
PRDM1	639
SESN1	27244
FYN	2534
ROS1	6098
ROS1	6098
ESR1	2099
HIST1H1C	3006
NOTCH4	4855
NOTCH4	4855
PIK3CG	5294
PIK3CG	5294
PIK3CG	5294
MET	4233
MET	4233
KMT2C	58508
KMT2C	58508
EGFR	1956
PMS2	5395
RAD21	5885
MYC	4609
NKX3-1	4824
FGFR1	2260
NBN	4683
NBN	4683
ABL1	25
SMARCA2	6595
SMARCA2	6595
SMARCA2	6595
PTPRD	5789
SYK	6850
BTK	695
BTK	695
BTK	695
STAG2	10735
SH2D1A	4068
ZRSR2	8233
RBM10	8241
AMER1	139285
AMER1	139285
AR	367
AR	367
AR	367
ATRX	546
ATRX	546
ATRX	546
KRAS	3845
TP53	7157
APC	324
APC	324
CDKN2A	1029
PTPRD	5789
CYSLTR2	57105
CTNNB1	1499
KDM5C	8242
TP53	7157
SMAD4	4089
APC	324
APC	324
KRAS	3845
TP53	7157
APC	324
KRAS	3845
NF2	4771
ARID2	196528
AKT1	207
PHOX2B	8929
APC	324
FGF3	2248
PLCG2	5336
KMT2C	58508
MTOR	2475
ATM	472
KRAS	3845
SOX9	6662
KRAS	3845
SMAD4	4089
SMAD4	4089
FAT1	2195
IRS1	3667
NCOA3	8202
TP53	7157
PIK3CA	5290
PTPRD	5789
ARID1A	8289
KRAS	3845
APC	324
PTPRT	11122
KRAS	3845
NOTCH3	4854
TP53	7157
PRKD1	5587
TCF7L2	6934
SMAD3	4088
APC	324
APC	324
KRAS	3845
WWTR1	25937
JAK1	3716
FGF4	2249
KMT2D	8085
KMT2D	8085
GLI1	2735
HNF1A	6927
BLM	641
ZFHX3	463
ZFHX3	463
TP53	7157
TP53	7157
AXIN2	8313
SMARCA4	6597
NOTCH3	4854
KMT2B	9757
CIC	23152
MSH6	2956
ERBB4	2066
PDCD1	5133
RUNX1	861
TMPRSS2	7113
EP300	2033
PPARG	5468
FAT1	2195
FLT4	2324
HLA-B	3106
VEGFA	7422
EGFR	1956
KMT2C	58508
SOX17	64321
SOX17	64321
PTPRD	5789
SPEN	23013
SPEN	23013
NOTCH2	4853
RFWD2	0
PGBD5	79605
RPS6KA4	8986
KMT2A	4297
KRAS	3845
KMT2D	8085
KMT2D	8085
POLE	5426
SLX4	84464
SMARCE1	6605
RNF43	54894
RAD51C	5889
SERPINB3	6317
POLD1	5424
MAPK1	5594
ZNRF3	84133
EPHB1	2047
FGFR3	2261
EPHA5	2044
